HolderAddress,Balance,PendingBalanceUpdate
0x0000000000007f150bd6f54c40a34d7c3d5e9f56,2.33E-05,No
0x0000000094acb89a43eac2fbb3a07973efc2435c,1.00E-18,No
0x00000000c9fdd743c60055c0e4ea30d266272c1f,1.00E-18,No
0x001a6848aab858e28ebc84733bc7d1bf4699422e,17.781528,No
0x001b0aa7279989dd46f1c740fd345cdc83c6b10f,41.57894874,No
0x0049f41a6bce4ea67a4f5730825f3fe563f6d6cd,4.44703972,No
0x004df84d6c8db02bb8b9faf0556465b5867a84d3,24.47415763,No
0x0056091f9245e74af0fa5edcf1299f0b5ba4826a,893.2,No
0x0056b44b8ee9f3acc4db012c7b1b822edc606630,1.6566,No
0x006622c649171283c197a0e9b99863e809bc6b72,20,No
0x0072dc2985348dc97df2bb128928ae3daa991ea3,25.04338907,No
0x0093e5f2a850268c0ca3093c7ea53731296487eb,1204.853349,No
0x00b81c011c0dd86aa36c5c57a78db43fef045a10,26.57033244,No
0x00c059e2c6d241d3d6517a06e7e13f29cfed665f,110.0910602,No
0x00d74df218506c3adb63fcb672762f662e88444b,50,No
0x00f474b70dc3e17a83884694f52d8d83db841fd9,22.22,No
0x017be1e253f4d915e626024c694df29d1bc999b9,14.20291783,No
0x046ecedeea5e53ab01d02c7abea0b316f25c1c39,49.9,No
0x05048c0edaf64920355999fd1de2eda212d4152a,2.671390747,No
0x07cb12a11b67407b3ac90b3989ab5281d0b3ee73,4.534934389,No
0x07f898ecdc9ca01e85cd2970784a25a21da6169b,31.58757858,No
0x0b2be2c7950b668925658bbb1c1e27f48a93b849,0.876002747,No
0x0b2c2e91bba64afdaed767e7c79792be4a08217c,80.5627259,No
0x0d0be99fbd35df0cb95215f0ff0eb472751d1de4,554.9705114,No
0x0ebddec36e620801f34c9c1cd6bcc68a55a7168d,4.089661878,No
0x10d6d2e343281d388291a3e02f3293aaeda67178,13.60952754,No
0x12430ec29b7bb47c32a087a49dfc50240f1690e8,3.30023972,No
0x1402c473d2cd6773c349d7513417bdfd7931e058,33.8900663,No
0x1436dbffbdde71d16a2c4d23f9116c3158c4d984,92.6073,No
0x14834c8d575cc3ff82d67860e11fb81f55b08079,4.32383787,No
0x197a78fe1bd3bbb64c1325c027bde8f67bac1770,12.18154917,No
0x1a942e037cdfe8098bfae2a3f181ca22aa6beaf7,151.649873,No
0x1e588b1cf4b963d003195fc4846d9f0ab83adf22,13.35190426,No
0x227cc0727b48aca66addef47e19c93f0963e2fe7,0.21340265,No
0x2432d81a18e33ba671a78a3df26ac59eaf8d96e4,2.22222222,No
0x26d39fc7341567c8b0bb96382fc54f367f4298ea,84.29907978,No
0x2808f7fe997ef825a46d76b8e97cf4691513b979,0.02,No
0x284ef411b9bd8cc3043b436e0601b67661cfe4ea,9,No
0x2a33469b400bec994cdc934e8d0d9fc66bc9859b,30.05783044,No
0x2a4b5d991b02dfa443024d5046c0f69a5c95d393,25.64818623,No
0x2b49f133cc7666147d96eb749a5291042f72fca7,0.003,No
0x2d131d1292420b88f1e1a20c0db25dbb4b3335d6,79.9,No
0x2ee03083eccad315d92b6d928b0b6c75f07402bf,57.54037282,No
0x307ab8d5dba95529e665bd3ae3a94b9d36034328,4.817273656,No
0x309c6ab717a47c10d86aeed6a8630b0fa5e00f9d,22.32149885,No
0x33edd419b05e8f519792f50380fa4bec775d4c7f,3,No
0x34297442954044611eb51ec1e513224a9a354ac7,11.48124893,No
0x3587544ed77c1ed46dbb68669abec1e1bc5e9df0,13.75884396,No
0x36e65addaa46d421ee698de7e6ef5a1d714f9658,0.000232524,No
0x370fde8e69ce62e23a5d8822cc67a3ccd7965a45,0.64807274,No
0x371ea1e8fcb52083a2a6ee8bb44bb5540939fb82,0.01343284,No
0x37fcd8fc2457881dfaba1069ff467f9214d04ff5,62.86817841,No
0x388e07d4fc7f3e2c825e6cb1ff46447764798b24,3,No
0x38905acc46959b1cfdd08d1eee803985e307d6ca,48.66308463,No
0x3b66c992860abd1ec94b917e222dca78ad55032f,2.09E-05,No
0x3be7264f5b60635f434559ab4abc839958768cf2,1,No
0x3dbe953eddb69dbd611e1fcd59d4bdefa5acb439,0.003,No
0x3e83b8ec7907ca667da217d943e948920cb10900,19.53138278,No
0x3f23252d4bd604c56a8d7bbbecb3b0f49c69bf55,62.0891359,No
0x4059e94f431b2c48373c3cf962b257b7a4b1dc63,39.87,No
0x44e3daf6bfa2905ea385cc56a4324819755b8fee,3.107792372,No
0x45c90da6dc0b7d6282824e684492f48cd50ca5da,49.52252361,No
0x471dff72be9dc1087b07ef943259477e2988d85e,1.00E-18,No
0x48596eab24e984646af8902e7db5f2ab0a35e5f7,8.67816803,No
0x48a63097e1ac123b1f5a8bbffafa4afa8192fab0,14.98650937,No
0x48bc1f7e6d446f7d5814527560915287b1a03020,4.318056474,No
