"HolderAddress","Balance","PendingBalanceUpdate"
"0x00391740f3438c07961dcf3f1214a06f10aa9aac","3.2","No"
"0x00e4eff894103956cc81312766421caa157f3084","58.9346723164281","No"
"0x01910a1b8c460410bfc3ecc09f703789c521b33f","55.8706348268417","No"
"0x025e78b38736b96292707989c3d9f8c780fa4656","6.6019701862035","No"
"0x05058ac4a37633961f8b1a942cf59e00ab7cbd49","13.7231752548785","No"
"0x0cb12bfcf88a09471f53eb4222c4b9d44999bf5c","1","No"
"0x0f0b6bce01e4c205caaf86f46695530f17112022","40.9989085868075","No"
"0x11ededebf63bef0ea2d2d071bdf88f71543ec6fb","2.09731048954222","No"
"0x12909009d651d40d6ae00b150db3107bc5654603","2.79199912384148","No"
"0x17670bf6e6f7cd7245873625b077fb2139d94993","7.5661333080293E-05","No"
"0x1c8a65ef672f33b5e4833aebdef49036b1e79fc1","95.6212684715697","No"
"0x231d52592b2498ea30df088b79fce9c5b12069d0","9.6108074297254E-05","No"
"0x242bba642c7e4ae6f5b7c6a3231b4ba844382e22","4.5393614644973E-05","No"
"0x2913973b008abee124800a0079e8b60609b39c58","0.0912732298029809","No"
"0x2b42a99b85d01b95ad80c9c9dc9d55f790a2787a","33.9885829041295","No"
"0x33e2ecb10a1b23ea4d01c686c00af961c075933a","5.3232552638658E-05","No"
"0x342a84fef52735aa46b20632bcba5a3aac5fbca0","5.5201503619995E-05","No"
"0x36ba700e4d77ed28c11334ceb07132912e596633","11.3928413478162","No"
"0x3d4a89eb0d70e08b5fe48f83b310e7a72dee56e7","9.6023705912355E-05","No"
"0x3d6456b33c950caf46b2b0371206fd936b4340f3","2.94880121072E-06","No"
"0x406cbfc2d391bed42078138165465128b4e0cb06","5","No"
"0x40e839068f02b01ac82f6ac9492cf2a48e0f4d0c","6.7108204000981E-05","No"
"0x4120bc4617d43a0d66de88bed961daf67e622254","9.7081811342342E-05","No"
"0x43462af90bb3691e898747d3f7edb79653937f69","8.3558844811431E-05","No"
"0x4f9ff08142590caf59287d2c79fe873ed2d17424","34.6410111118819","No"
"0x50213d7e9d882b0f81ed689067a9d45b23abac5d","5.4573288901693","No"
"0x544c3a4804805dd889c399a6f207aefbdd8684ec","530.34266123544","No"
"0x561acb3fb548df8f9d1e71220f024d8b0e9e76be","53000","No"
"0x56bce87dacb5a53619e8e6429df882a9108f896b","66.0428983833343","No"
"0x59a8caefac08cff0aade24e326d0c2b20edaba0b","1000","No"
"0x59ee6454c8e29255ce9c92a43f9d1e3f306cd0f9","5.7703814247921E-05","No"
"0x5a99665536bc91fe020e056b358ec39c97e85910","1.7591153004804E-05","No"
"0x5ac5635458bc0714be760d5fd503a3885058d9a9","61.4882333458178","No"
"0x5b3e82e53e665b4e91ed488248f0d239d1520804","221.987577853275","No"
"0x5ba3750a16b1f63b2265a571bf8920e218f077a9","3.7758900812473E-05","No"
"0x5d93f3c0e6134cdb10c2eb46abc82353637c9983","9.2911280145117E-05","No"
"0x6319656374d121e6cc8c7dc940a843af834a1a1d","88.4581906098992","No"
"0x6484c8e807e596beffc0b9d3accb6ff14fcbb180","1000","No"
"0x66f5743336666266faeb487fd7b9564091de878b","1","No"
"0x67dffc0b00e0b52a3885fd9588a67df37bdd1413","1.2987114150185E-05","No"
"0x68c66f9b8083ec6298b983c29fe38be7464bc256","7.2362792448116","No"
"0x6b817156a65615f01949eae47cc66f2a1f2f2e7d","4500","No"
"0x6b9c53cb5bc9e5bf03e18a59b640f1f63020b9e1","10","No"
